"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y18h3090242p01",30,90242,4857,53,"male",18,20415,"Leisure",260.51,260.51,"walking",0.166666666666667,0.8,"weekend day",6,"40 to 64","<1km","walking",0.8,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090242p01",30,90242,4857,53,"male",18,20416,"Leisure",260.51,260.51,"walking",0.166666666666667,0.8,"weekend day",7,"40 to 64","<1km","walking",0.8,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090320p01",30,90320,4858,42,"female",18,20417,"Leisure",637.85,793.15,"walking",0.0833333333333333,0.14,"weekend day",1,"40 to 64","<1km","walking",0.14,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090320p01",30,90320,4858,42,"female",18,20418,"Leisure",637.85,793.15,"walking",0.166666666666667,0.44,"weekend day",2,"40 to 64","<1km","walking",0.44,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090320p01",30,90320,4858,42,"female",18,20419,"Leisure",637.85,793.15,"walking",0.166666666666667,0.58,"weekend day",3,"40 to 64","<1km","walking",0.58,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090320p02",30,90320,4859,40,"female",18,20420,"Leisure",637.85,637.85,"walking",0.0833333333333333,0.14,"weekend day",1,"40 to 64","<1km","walking",0.14,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090320p02",30,90320,4859,40,"female",18,20421,"Leisure",637.85,637.85,"walking",0.166666666666667,0.44,"weekend day",2,"40 to 64","<1km","walking",0.44,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090320p02",30,90320,4859,40,"female",18,20422,"Leisure",637.85,637.85,"walking",0.166666666666667,0.58,"weekend day",3,"40 to 64","<1km","walking",0.58,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090324p01",30,90324,4860,66,"male",18,20423,"Other",243.54,243.54,"car",2,71.35,"weekday",1,"65 plus",">10km","car",71.35,2,14,14
"y18h3090324p01",30,90324,4860,66,"male",18,20424,"Leisure",243.54,243.54,"car",0.183333333333333,4.78,"weekday",2,"65 plus","3-5km","car",4.78,0.183333333333333,1.28333333333333,1.28333333333333
"y18h3090324p01",30,90324,4860,66,"male",18,20425,"Shopping",243.54,243.54,"car",0.0833333333333333,0.35,"weekday",3,"65 plus","<1km","car",0.35,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090324p01",30,90324,4860,66,"male",18,20426,"Other",243.54,243.54,"car",0.15,5.02,"weekday",4,"65 plus","6-10km","car",5.02,0.15,1.05,1.05
"y18h3090324p01",30,90324,4860,66,"male",18,20427,"Other",243.54,243.54,"car",2,69.59,"weekday",5,"65 plus",">10km","car",69.59,2,14,14
"y18h3090324p01",30,90324,4860,66,"male",18,20428,"Shopping",243.54,243.54,"walking",0.0833333333333333,0.78,"weekday",6,"65 plus","<1km","walking",0.78,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090324p01",30,90324,4860,66,"male",18,20429,"Shopping",243.54,243.54,"walking",0.0833333333333333,0.78,"weekday",7,"65 plus","<1km","walking",0.78,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090325p01",30,90325,4861,55,"male",18,20430,"Leisure",248.84,287.06,"bicycle",0.25,3.82,"weekday",1,"40 to 64","3-5km","bicycle",3.82,0.25,1.75,1.75
"y18h3090325p01",30,90325,4861,55,"male",18,20431,"Leisure",248.84,287.06,"bicycle",0.25,3.95,"weekday",2,"40 to 64","3-5km","bicycle",3.95,0.25,1.75,1.75
"y18h3090328p01",30,90328,4862,49,"female",18,20432,"Leisure",664.56,664.56,"car",0.0833333333333333,1.81,"weekend day",1,"40 to 64","1-2km","car",1.81,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090328p01",30,90328,4862,49,"female",18,20433,"Other",664.56,664.56,"walking",0.5,0.67,"weekend day",2,"40 to 64","<1km","walking",0.67,0.5,3.5,3.5
"y18h3090328p01",30,90328,4862,49,"female",18,20434,"Other",664.56,664.56,"car",0.0833333333333333,2.55,"weekend day",3,"40 to 64","3-5km","car",2.55,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090328p01",30,90328,4862,49,"female",18,20435,"Work",664.56,664.56,"car",0.75,41.98,"weekend day",4,"40 to 64",">10km","car",41.98,0.75,5.25,5.25
"y18h3090328p01",30,90328,4862,49,"female",18,20436,"Work",664.56,664.56,"car",0.75,41.47,"weekend day",5,"40 to 64",">10km","car",41.47,0.75,5.25,5.25
"y18h3090328p01",30,90328,4862,49,"female",18,20437,"Other",664.56,664.56,"walking",0.166666666666667,1.09,"weekend day",6,"40 to 64","1-2km","walking",1.09,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090328p01",30,90328,4862,49,"female",18,20438,"Other",664.56,664.56,"walking",0.166666666666667,1.09,"weekend day",7,"40 to 64","1-2km","walking",1.09,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090329p01",30,90329,4863,59,"male",18,20439,"Leisure",243.85,243.85,"car",0.166666666666667,2.54,"weekday",1,"40 to 64","3-5km","car",2.54,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090329p01",30,90329,4863,59,"male",18,20440,"Leisure",243.85,243.85,"car",0.0833333333333333,2.57,"weekday",2,"40 to 64","3-5km","car",2.57,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090329p02",30,90329,4864,49,"male",18,20441,"Work",276.2,276.2,"walking",0.0833333333333333,0.34,"weekday",1,"40 to 64","<1km","walking",0.34,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090329p02",30,90329,4864,49,"male",18,20442,"Work",276.2,276.2,"public.transport",0.25,2.92,"weekday",2,"40 to 64","3-5km","public.transport",2.92,0.25,1.75,1.75
"y18h3090329p02",30,90329,4864,49,"male",18,20443,"Work",276.2,276.2,"walking",0.233333333333333,0.58,"weekday",3,"40 to 64","<1km","walking",0.58,0.233333333333333,1.63333333333333,1.63333333333333
"y18h3090329p02",30,90329,4864,49,"male",18,20444,"Leisure",276.2,276.2,"walking",0.25,1.03,"weekday",4,"40 to 64","1-2km","walking",1.03,0.25,1.75,1.75
"y18h3090329p02",30,90329,4864,49,"male",18,20445,"Work",276.2,276.2,"walking",0.333333333333333,1.03,"weekday",5,"40 to 64","1-2km","walking",1.03,0.333333333333333,2.33333333333333,2.33333333333333
"y18h3090329p02",30,90329,4864,49,"male",18,20446,"Work",276.2,276.2,"walking",0.166666666666667,0.68,"weekday",6,"40 to 64","<1km","walking",0.68,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090329p02",30,90329,4864,49,"male",18,20447,"Work",276.2,276.2,"public.transport",0.166666666666667,1.26,"weekday",7,"40 to 64","1-2km","public.transport",1.26,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090329p02",30,90329,4864,49,"male",18,20448,"Work",276.2,276.2,"walking",0.25,1.94,"weekday",8,"40 to 64","1-2km","walking",1.94,0.25,1.75,1.75
"y18h3090333p01",30,90333,4865,86,"male",18,20449,"Leisure",297.74,297.74,"walking",0.5,1.1,"weekday",1,"65 plus","1-2km","walking",1.1,0.5,3.5,3.5
"y18h3090333p01",30,90333,4865,86,"male",18,20450,"Leisure",297.74,297.74,"bicycle",0.833333333333333,6.94,"weekday",2,"65 plus","6-10km","bicycle",6.94,0.833333333333333,5.83333333333333,5.83333333333333
"y18h3090333p01",30,90333,4865,86,"male",18,20451,"Other",297.74,297.74,"bicycle",1,8.44,"weekday",3,"65 plus","6-10km","bicycle",8.44,1,7,7
